"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"A","ARNOLAT",111,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,259
NA,NA,117,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,260
NA,NA,104,44,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,261
NA,"GOBINIG",117,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,262
NA,NA,126,43,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,263
NA,"TRIGLUC",239,113,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,264
NA,"MULLBAR",139,32,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,265
NA,"MELIKER",40,32,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,266
NA,NA,43,36,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,267
NA,"GOBINIG",118,17,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,268
NA,"GADUMER",169,36,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,269
NA,NA,180,32,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,270
NA,"SQUIMAN",30,45,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,271
NA,NA,30,39,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,272
NA,NA,29,38,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,273
NA,NA,31,40,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,274
NA,NA,26,22,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,275
NA,NA,23,15,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,276
NA,NA,31,45,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,277
NA,NA,21,14,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,278
NA,NA,25,21,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,279
NA,NA,36,66,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,280
NA,NA,30,35,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,281
NA,NA,28,35,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,282
NA,NA,19,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,283
NA,NA,24,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,284
NA,NA,27,31,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,285
NA,NA,27,30,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,286
NA,NA,24,20,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,287
NA,NA,28,35,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,288
NA,NA,25,26,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,289
NA,NA,23,23,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,290
