"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"D","SCORSCO",266,327,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,233
NA,NA,120,33,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,234
NA,NA,107,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,235
NA,"TRIGLUC",276,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,236
NA,NA,232,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,237
NA,NA,214,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,238
NA,NA,235,513,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,239
NA,"TRISCAP",129,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,240
NA,NA,116,36,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,241
NA,"MICUOCE",140,42,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,242
NA,"MULLBAR",161,41,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,243
NA,NA,137,26,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,244
NA,NA,162,43,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,245
NA,NA,140,30,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,246
NA,NA,127,24,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,247
NA,NA,162,45,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,248
NA,"LEPTCAV",100,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,249
NA,NA,99,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,250
NA,NA,96,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,251
NA,NA,95,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,252
NA,NA,97,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,253
NA,NA,100,62,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,254
NA,"PAGEERY",159,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,255
NA,NA,159,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,256
NA,NA,120,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,257
NA,NA,145,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,258
NA,NA,165,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,259
NA,NA,115,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,260
NA,NA,137,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,261
NA,NA,124,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,262
NA,NA,97,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,263
NA,NA,139,331,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,264
NA,"SCORNOT",141,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,265
NA,NA,120,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,266
NA,NA,85,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,267
NA,NA,123,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,268
NA,NA,139,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,269
NA,NA,155,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,270
NA,NA,124,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,271
NA,NA,134,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,272
NA,NA,134,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,273
NA,NA,133,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,274
