"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"D","RAJAAST",463,773,"F",2,NA,264,330,0,0,0,0,0,0,NA,NA,150
NA,NA,242,78,"F",1,NA,132,163,0,0,0,0,0,0,NA,NA,151
NA,"ARNOLAT",132,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,152
NA,NA,96,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,153
NA,NA,122,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,154
NA,NA,97,59,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,155
NA,"GOBINIG",116,20,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,156
NA,"MELIKER",36,24,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,157
NA,NA,36,24,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,158
NA,NA,34,22,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,159
NA,NA,33,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,160
NA,NA,31,17,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,161
NA,NA,32,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,162
NA,NA,30,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,163
NA,NA,32,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,164
NA,NA,31,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,165
NA,NA,27,14,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,166
NA,NA,31,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,167
NA,NA,31,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,168
NA,NA,31,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,169
NA,NA,35,26,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,170
NA,NA,31,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,171
NA,NA,32,19,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,172
NA,NA,29,16,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,173
NA,NA,30,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,174
NA,NA,30,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,175
NA,NA,30,19,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,176
NA,NA,29,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,177
NA,NA,32,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,178
NA,NA,32,18,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,179
NA,NA,31,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,180
NA,NA,31,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,181
NA,NA,35,21,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,182
NA,NA,31,17,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,183
NA,NA,32,20,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,184
NA,NA,25,16,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,185
NA,NA,29,17,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,186
NA,NA,27,18,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,187
NA,NA,39,38,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,188
NA,NA,36,25,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,189
NA,NA,33,23,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,190
NA,NA,33,26,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,191
NA,NA,39,34,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,192
NA,NA,46,48,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,193
NA,NA,33,29,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,194
NA,NA,28,16,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,195
NA,NA,34,24,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,196
NA,NA,33,20,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,197
NA,NA,39,31,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,198
NA,NA,38,28,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,199
NA,NA,35,26,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,200
