"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"A","GALEECH",0,464,NA,0,NA,0,0,18,0,NA,0,0,0,NA,NA,110
NA,"MUREBRA",0,145,NA,0,NA,0,0,7,0,0,0,0,0,NA,NA,111
NA,"PAPELON",30,11,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,112
NA,NA,26,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,113
NA,NA,26,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,114
NA,NA,28,11,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,115
NA,NA,24,8,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,116
NA,NA,0,12,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,117
NA,NA,25,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,118
NA,NA,25,9,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,119
NA,NA,24,7,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,120
NA,NA,0,8,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,121
NA,NA,28,10,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,122
NA,NA,23,8,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,123
NA,NA,0,10,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,124
NA,NA,29,10,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,125
NA,NA,26,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,126
NA,NA,25,9,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,127
NA,NA,21,6,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,128
NA,NA,23,7,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,129
NA,NA,18,4,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,130
NA,"SQUIMAN",19,10,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,131
NA,NA,26,25,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,132
NA,"NEPRNOR",0,37,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,133
NA,"BUGLLUT",104,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,134
NA,NA,115,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,135
NA,NA,87,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,136
NA,NA,101,45,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,137
NA,"CITHMAC",155,30,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,138
NA,NA,146,23,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,139
NA,"EUTRGUR",166,40,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,140
NA,NA,115,13,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,141
NA,NA,132,21,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,142
NA,"MERLMER",224,70,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,143
NA,NA,170,0,"I",0,NA,0,0,0,0,0,0,0,0,NA,NA,144
NA,NA,175,42,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,145
NA,NA,217,75,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,146
NA,NA,240,91,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,147
NA,NA,210,58,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,148
NA,NA,207,58,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,149
NA,NA,207,60,"M",2,NA,0,0,0,0,0,0,0,0,NA,NA,150
NA,NA,180,35,"I",0,NA,0,0,0,0,0,0,0,0,NA,NA,151
NA,NA,217,68,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,152
NA,NA,170,28,"I",0,NA,0,0,0,0,0,0,0,0,NA,NA,153
NA,NA,206,57,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,154
NA,NA,186,46,"M",1,NA,0,0,0,0,0,0,0,0,NA,NA,155
NA,NA,202,73,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,156
NA,"ELEDMOS",60,67,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,157
NA,NA,100,294,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,158
