"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"A","SPARAUR",190,89,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,173
NA,NA,187,87,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,174
NA,NA,186,83,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,175
NA,NA,197,113,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,176
NA,NA,190,86,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,177
NA,NA,195,113,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,178
NA,NA,202,116,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,179
NA,NA,196,101,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,180
NA,NA,192,90,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,181
NA,NA,182,85,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,182
NA,NA,183,84,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,183
NA,NA,192,90,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,184
NA,NA,185,90,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,185
NA,NA,184,80,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,186
NA,NA,197,112,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,187
NA,NA,211,116,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,188
NA,NA,195,100,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,189
NA,NA,188,86,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,190
NA,NA,180,79,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,191
NA,NA,188,90,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,192
NA,NA,204,115,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,193
NA,NA,185,90,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,194
NA,NA,194,96,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,195
NA,"LITHMOR",182,76,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,196
NA,NA,171,64,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,197
NA,NA,177,71,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,198
NA,NA,212,114,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,199
NA,NA,188,81,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,200
NA,NA,168,67,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,201
NA,NA,169,62,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,202
NA,NA,180,77,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,203
NA,NA,178,70,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,204
NA,"SQUIMAN",29,27,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,205
NA,NA,32,42,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,206
NA,NA,31,42,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,207
NA,NA,0,0,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,208
NA,NA,22,27,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,209
NA,NA,31,0,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,210
NA,NA,29,31,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,211
NA,NA,26,21,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,212
NA,NA,25,25,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,213
NA,NA,29,33,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,214
NA,NA,23,15,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,215
NA,NA,23,15,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,216
