"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"D","BUGLLUT",117,16,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,126
NA,NA,112,15,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,127
NA,NA,112,14,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,128
NA,NA,100,11,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,129
NA,NA,105,10,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,130
NA,NA,90,8,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,131
NA,"PAGEERY",149,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,132
NA,NA,122,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,133
NA,NA,132,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,134
NA,NA,145,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,135
NA,NA,124,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,136
NA,NA,162,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,137
NA,NA,127,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,138
NA,NA,129,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,139
NA,NA,135,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,140
NA,NA,121,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,141
NA,NA,95,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,142
NA,NA,117,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,143
NA,NA,125,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,144
NA,NA,96,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,145
NA,NA,129,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,146
NA,NA,91,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,147
NA,NA,84,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,148
NA,NA,81,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,149
NA,NA,100,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,150
NA,NA,94,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,151
NA,NA,122,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,152
NA,NA,104,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,153
NA,NA,127,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,154
NA,NA,92,529,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,155
NA,"ARNOLAT",100,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,156
NA,NA,72,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,157
NA,NA,85,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,158
