"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"D","TRIGLUC",340,317,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,90
NA,NA,205,66,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,91
NA,"SCORSCO",102,20,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,92
NA,NA,106,23,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,93
NA,NA,128,39,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,94
NA,"SCORNOT",145,58,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,95
NA,NA,154,66,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,96
NA,NA,103,22,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,97
NA,NA,178,91,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,98
NA,NA,152,67,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,99
NA,NA,155,73,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,100
NA,NA,137,46,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,101
NA,"LEPTCAV",104,15,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,102
NA,"TRIPLAS",136,31,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,103
NA,"MICUOCE",111,18,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,104
NA,"PAGEERY",115,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,105
NA,NA,155,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,106
NA,NA,119,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,107
NA,NA,127,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,108
NA,NA,109,121,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,109
NA,"SERAHEP",72,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,110
NA,NA,79,14,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,111
NA,"SCYOCAN",272,59,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,112
NA,NA,352,133,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,113
NA,NA,425,223,"F",0,NA,0,0,0,0,0,0,0,0,NA,NA,114
NA,NA,285,77,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,115
NA,NA,287,73,"F",0,NA,0,0,0,0,0,0,0,0,NA,NA,116
NA,"MULLBAR",170,49,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,117
NA,NA,156,43,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,118
NA,"ELEDMOS",6,58,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,119
NA,"LOPHBUD",426,1344,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,120
NA,"SEPIOFF",100,129,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,121
NA,NA,102,150,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,122
NA,NA,120,183,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,123
NA,"PECTJAC",98,106,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,124
NA,NA,42,11,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,125
NA,"GALEECH",0,29,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,126
"A","MERLMER",226,96,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,127
NA,NA,169,32,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,128
NA,"MICUOCE",145,39,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,129
NA,"SCYOCAN",288,62,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,130
NA,"CITHMAC",159,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,131
NA,NA,137,41,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,132
NA,"SCORNOT",110,24,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,133
NA,NA,144,55,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,134
NA,NA,130,41,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,135
NA,NA,137,48,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,136
NA,NA,117,31,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,137
NA,NA,155,68,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,138
NA,NA,137,48,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,139
NA,"PAGEERY",119,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,140
NA,NA,168,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,141
NA,NA,111,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,142
NA,NA,136,120,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,143
NA,"SQUIMAN",27,29,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,144
NA,"SCORSCO",124,30,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,145
NA,"SCORNOT",114,28,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,146
NA,"PAGEERY",119,20,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,147
NA,"SERAHEP",77,7,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,148
NA,"TRIGLUC",235,134,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,149
NA,"LEPTCAV",111,16,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,150
NA,NA,111,16,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,151
NA,NA,99,12,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,152
NA,NA,105,13,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,153
NA,NA,110,15,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,154
NA,NA,110,15,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,155
NA,NA,91,9,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,156
NA,NA,112,15,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,157
NA,"TRIPLAS",113,25,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,158
NA,"URANSCA",108,21,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,159
NA,"BLENOCE",114,21,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,160
NA,"PAPELON",24,8,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,161
NA,"PECTJAC",61,28,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,162
NA,NA,61,26,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,163
NA,NA,56,21,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,164
NA,NA,41,9,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,165
NA,NA,44,11,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,166
NA,"SEPIOFF",112,148,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,167
NA,NA,112,175,"M",3,NA,0,0,0,0,0,0,0,0,NA,NA,168
NA,NA,114,138,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,169
NA,NA,109,150,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,170
NA,NA,105,131,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,171
NA,NA,113,181,"F",2,NA,0,0,0,0,0,0,0,0,NA,NA,172
"A","SOLEVUL",275,171,"M",2,"SS8133",0,0,0,0,0,0,0,0,NA,NA,173
NA,NA,309,281,"F",3,"SS8134",0,0,0,0,0,0,0,0,NA,NA,174
"D","SOLEVUL",251,152,"F",5,"SS8135",0,0,0,0,0,0,0,0,NA,NA,175
NA,NA,289,190,"M",5,"SS8136",0,0,0,0,0,0,0,0,NA,NA,176
NA,NA,263,138,"M",2,"SS8137",0,0,0,0,0,0,0,0,NA,NA,177
NA,NA,292,222,"F",5,"SS8138",0,0,0,0,0,0,0,0,NA,NA,178
