"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"A","GOBINIG",136,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,231
NA,NA,112,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,232
NA,NA,94,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,233
NA,NA,92,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,234
NA,NA,142,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,235
NA,NA,119,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,236
NA,NA,124,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,237
NA,NA,109,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,238
NA,NA,102,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,239
NA,NA,115,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,240
NA,NA,142,233,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,241
NA,"TRIGLUC",193,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,242
NA,NA,226,158,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,243
NA,"ARNOLAT",75,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,244
NA,NA,99,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,245
NA,NA,99,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,246
NA,NA,95,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,247
NA,NA,120,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,248
NA,NA,99,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,249
NA,NA,101,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,250
NA,NA,106,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,251
NA,NA,97,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,252
NA,NA,106,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,253
NA,NA,99,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,254
NA,NA,100,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,255
NA,NA,87,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,256
NA,NA,84,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,257
NA,NA,110,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,258
NA,NA,112,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,259
