"gear","species_name","length_mm","weight_g","Sex","Mat","id_specimen","length_field2","length_field3","total_number","subsample_number","kg_field1","kg_field2","kg_field3","haul_weight","type_subsample","Notes","ID"
"D","CALLSAP",25,11,"F",1,NA,52,45,0,0,0,0,0,0,NA,NA,406
NA,"MULLBAR",140,32,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,407
NA,"LITHMOR",119,21,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,408
NA,NA,108,16,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,409
NA,NA,122,24,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,410
NA,NA,134,31,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,411
NA,NA,114,20,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,412
NA,"ELEDMOS",124,456,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,413
NA,"RAPAVEN",0,135,NA,0,NA,0,0,1,0,0,0,0,0,NA,NA,414
NA,"LITHMOR",128,27,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,415
NA,"SOLEIMP",144,31,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,416
NA,"ARNOLAT",99,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,417
NA,NA,119,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,418
NA,NA,108,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,419
NA,NA,106,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,420
NA,NA,103,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,421
NA,NA,107,71,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,422
NA,"TRIGLUC",277,200,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,423
NA,NA,255,165,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,424
NA,NA,233,110,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,425
NA,"MELIKER",29,14,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,426
NA,NA,25,10,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,427
NA,NA,36,27,"F",1,NA,0,0,0,0,0,0,0,0,NA,NA,428
NA,NA,25,0,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,429
NA,"SQUIMAN",26,25,"I",0,NA,0,0,0,0,0,0,0,0,NA,NA,430
NA,NA,28,39,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,431
NA,NA,32,54,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,432
NA,NA,32,49,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,433
NA,NA,29,30,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,434
NA,NA,32,38,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,435
NA,NA,28,30,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,436
NA,NA,30,42,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,437
NA,NA,29,31,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,438
NA,NA,30,41,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,439
NA,NA,37,75,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,440
NA,NA,30,42,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,441
NA,NA,29,29,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,442
NA,NA,33,53,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,443
NA,NA,30,41,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,444
NA,NA,32,52,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,445
NA,NA,28,35,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,446
NA,NA,29,45,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,447
NA,NA,26,32,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,448
NA,NA,27,26,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,449
NA,NA,32,43,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,450
NA,NA,28,36,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,451
NA,NA,28,32,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,452
NA,NA,37,67,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,453
NA,NA,22,28,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,454
NA,NA,29,44,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,455
NA,NA,33,50,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,456
NA,NA,28,32,"M",0,NA,0,0,0,0,0,0,0,0,NA,NA,457
