"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g","NOTE"
"D","HOLOFOR",NA,NA,NA,NA,7,400,"SUBCAMPIONE BENTHOS"
"D","HOLOTND",NA,NA,NA,NA,4,700,"SUBCAMPIONE BENTHOS"
