"Gear","Species","Lenght_mm","Weight_g","Sex","Mat","Number","Total weight_g","NOTE"
"D","HOLOFOR",NA,NA,NA,NA,13,900,"SUBCAMPIONE BENTHOS"
"D","HOLOTND",NA,NA,NA,NA,11,3000,"SUBCAMPIONE BENTHOS"
